country,year,population,eci_trade,exports,fitness_trade,eci_publications,fitness_publications,documents,citations,eci_patents,fitness_patents,patents,eci_services,fitness_services,service_exports,gdp_start,emissions,hum_cap,eci_similarity_trade,eci_similarity_publications,eci_similarity_patents,eci_similarity_services,entropy_trade,entropy_publications,entropy_patents,entropy_services,hhi_trade,hhi_publications,hhi_patents,hhi_services,nat_res
ARE,1999,2747431.25,0.562016041571671,0.824003659431613,0.721826106613116,0.438768817766432,0.604890144473407,0.664220369216753,18285,0.444995351747775,0.223027376647479,0.446728847219036,NaN,NaN,NaN,101279.902038773,-14.7870958849712,9.29,0.536103607119309,0.475667966447718,0.133189115692192,NaN,0.610806139219754,0.94957563937339,0.639361615982143,0.610806139219754,0.340190795556167,0.0367496508887653,0.343253173378328,0.340190795556167,8.78303616786395
ARG,1999,35858620.75,0.650170483342078,0.485867895942264,0.819494166859685,0.505760446376087,0.735662229979639,0.708842301733744,204296.75,0.529086774141154,0.362590362088447,0.278178537157611,0.256409995423292,0.368469644768669,0.6669088319864,19074.9120713179,-14.7177936053849,8.71,0.618930948901306,0.563108922688762,0.481207390900546,0.208150565694946,0.970669390239612,0.992165161257459,0.568459842223951,0.970669390239612,0.021051053747645,0.00553744972905139,0.425945864733865,0.021051053747645,6.30918601221153
AUS,1999,18616250,0.680386042296351,0.698104700183407,0.865813657457557,0.913043669442222,0.918994803822825,0.951255211192296,1876643.25,0.970751028471394,0.944478555266965,0.857455508360122,0.57894048834653,0.583809358642852,0.89821102105441,35368.5069372599,-14.0089409286649,11.925,0.681424919136638,0.942407486343573,0.978233042886524,0.386818187747427,0.964313784632148,1,0.985077724434586,0.964313784632148,0.0260549600233544,0,0.0142338164805442,0.0260549600233544,7.75183498270134
AUT,1999,7974042.75,0.90640996284554,0.817839022410757,0.944140523165749,0.696784398045098,0.790858939170513,0.917613884252744,669156,0.971462413798544,0.893630883516274,0.857887771741285,0.388202319198582,0.375014688757054,0.904092384792146,43028.6365258016,-15.2742698889622,10.415,0.925124803204401,0.702499189255511,0.986061465059627,0.267045218403648,0.999511099052183,0.994481911870172,0.993159240367575,0.999511099052183,0.00035688890617897,0.0039305998677127,0.00640165747803347,0.00035688890617897,7.7972716054016
BEL,1999,10191827.25,0.839288154203898,0.731064415356405,0.94644312935624,0.708776098708467,0.831888288487546,0.937583541722524,977929.5,0.868055434300896,0.825739234162098,0.859314389733977,0.634644421556697,0.451288546157588,0.92128648140519,39901.6644879216,-14.8770272582013,10.03,0.900663259551853,0.772599340291818,0.936617894357897,0.560155400550221,0.982417204220191,0.994197273555854,0.909244508225446,0.982417204220191,0.0128796215489342,0.0041661957884191,0.0862632931587261,0.0128796215489342,8.70087954427104
BGR,1999,8285576,0.662937927851942,0.453986644375673,0.883621161758701,0.449440044047776,0.690245791148392,0.776259797548965,76289.25,0.690408452972088,0.488789667252037,0.482196159059271,0.664033497138008,0.393104905868095,0.445356799195264,10810.1589871124,-14.1189609765466,9.775,0.615714479487462,0.527028874001856,0.609592031122771,0.706810842221305,0.992179321769114,0.98423547160941,0.865304486287493,0.992179321769114,0.00557365772916855,0.0111323007000147,0.127299796777123,0.00557365772916855,5.71260399738947
BLR,1999,10093925.75,0.727822578371169,0.403896194779737,0.859203839483306,0.441416792818661,0.624303747897519,0.706662910443667,29592.75,0.742344771876179,0.518861740307535,0.437533945224054,NaN,NaN,NaN,6889.08103244647,-13.6183923384366,9.925,0.626042065367576,0.45511826318066,0.699184136964911,NaN,0.978452032067692,0.959186011014552,0.898246163278038,0.978452032067692,0.0155850387506112,0.0291568402594273,0.0954047885587167,0.0155850387506112,4.98428319765373
BRA,1999,168481913.75,0.698084979339585,0.364527324819257,0.870987210421106,0.567258932482189,0.748673819137045,0.644933319803118,442382.75,0.874805291614927,0.770441414419376,0.333346187044575,0.581658905604445,0.68103148592804,0.598559103514297,11376.4577529417,-14.7926372545313,6.035,0.647859522336935,0.541576141436696,0.887902852399594,0.518965119895778,0.984564592342051,0.994649855636876,0.960236540088603,0.984564592342051,0.0109776062090175,0.00376062647794175,0.0374122320882517,0.0109776062090175,5.27873226421837
CAN,1999,30018156.25,0.79210240216651,0.811592384342419,0.875428543003198,0.90964575354763,0.941174071093263,0.953077675790124,3484223.25,0.926694964905656,0.914700371866015,0.827891002913819,0.803735338989379,0.63501108659987,0.864953514502656,34838.0786731971,-14.2975203321013,12.25,0.824387713574182,1,0.986130661227623,0.768315054035653,0.96725229091026,0.999358490949571,0.939807713087466,0.96725229091026,0.0241133958483324,0.000445285803874479,0.0572777507945737,0.0241133958483324,8.04843577479646
CHE,1999,7103687,0.956961251479026,0.894626804103517,0.940313122288795,0.638799521851967,0.782164232626864,1,1670854.25,0.963883105798176,0.923015922123382,0.958267611500541,0.805497627072627,0.557260169170437,1,55868.0835931382,-15.8347057589688,11.835,1,0.696875223752744,0.978544956591482,0.640214811829125,0.986601783627509,0.992186302843356,0.969996750302826,0.986601783627509,0.00966116413188054,0.00557324641522471,0.0283589974371892,0.00966116413188054,8.11318895634352
